09:21:27.408 | INFO | BeForFeApplication: Starting BeForFeApplication using Java 21.0.3 with PID 14208 (C:\Users\PC\OneDrive\Desktop\bookommerce\be-for-fe\target\classes started by PC in C:\Users\PC\OneDrive\Desktop\bookommerce\be-for-fe)
09:21:27.422 | INFO | BeForFeApplication: No active profile set, falling back to 1 default profile: "default"
09:21:27.564 | INFO | DevToolsPropertyDefaultsPostProcessor: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
09:21:27.565 | INFO | DevToolsPropertyDefaultsPostProcessor: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
09:21:34.957 | INFO | RepositoryConfigurationDelegate: Bootstrapping Spring Data JPA repositories in DEFAULT mode.
09:21:35.084 | INFO | RepositoryConfigurationDelegate: Finished Spring Data repository scanning in 85 ms. Found 0 JPA repository interfaces.
09:21:36.157 | INFO | GenericScope: BeanFactory id=13accd6c-ace7-3257-bf77-8e53872683d4
09:21:37.998 | INFO | TomcatWebServer: Tomcat initialized with port 8181 (https)
09:21:38.048 | INFO | StandardService: Starting service [Tomcat]
09:21:38.049 | INFO | StandardEngine: Starting Servlet engine: [Apache Tomcat/10.1.50]
09:21:38.186 | INFO | [/]: Initializing Spring embedded WebApplicationContext
09:21:38.188 | INFO | ServletWebServerApplicationContext: Root WebApplicationContext: initialization completed in 9004 ms
09:21:38.717 | INFO | LogHelper: HHH000204: Processing PersistenceUnitInfo [name: default]
09:21:39.458 | INFO | Version: HHH000412: Hibernate ORM core version 6.6.39.Final
09:21:39.579 | INFO | RegionFactoryInitiator: HHH000026: Second-level cache disabled
09:21:41.945 | INFO | SpringPersistenceUnitInfo: No LoadTimeWeaver setup: ignoring JPA class transformer
09:21:42.047 | INFO | HikariDataSource: HikariPool-1 - Starting...
09:21:44.015 | INFO | HikariPool: HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@34486ee2
09:21:44.163 | INFO | HikariDataSource: HikariPool-1 - Start completed.
09:21:45.035 | WARN | deprecation: HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
09:21:45.590 | INFO | pooling: HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0.44
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
09:21:50.205 | INFO | JtaPlatformInitiator: HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
09:21:50.361 | INFO | LocalContainerEntityManagerFactoryBean: Initialized JPA EntityManagerFactory for persistence unit 'default'
09:21:51.006 | WARN | JpaBaseConfiguration$JpaWebConfiguration: spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
09:21:53.316 | DEBUG | AuthenticationConfiguration$DefaultPasswordEncoderAuthenticationManagerBuilder: No authenticationProviders and no parentAuthenticationManager defined. Returning null.
09:21:54.353 | DEBUG | DefaultSecurityFilterChain: Will secure any request with filters: DisableEncodeUrlFilter, WebAsyncManagerIntegrationFilter, SecurityContextHolderFilter, HeaderWriterFilter, CorsFilter, CsrfFilter, LogoutFilter, OAuth2AuthorizationRequestRedirectFilter, OAuth2LoginAuthenticationFilter, DefaultResourcesFilter, DefaultLoginPageGeneratingFilter, DefaultLogoutPageGeneratingFilter, RequestCacheAwareFilter, SecurityContextHolderAwareRequestFilter, AnonymousAuthenticationFilter, SessionManagementFilter, ExceptionTranslationFilter, AuthorizationFilter
09:21:58.913 | INFO | OptionalLiveReloadServer: LiveReload server is running on port 35729
